wasted_computation_no_offload,wasted_computation_offload,charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
385998,78474,0.004827586206896552,0.004827586206896552,0.015,210123,94012,225000.0
335618,137730,0.004827586206896552,0.005241379310344827,0.006,198040,144390,215753.42465753423
358431,117264,0.004827586206896552,0.005241379310344827,0.009,198795,121578,215753.42465753423
375082,103345,0.004827586206896552,0.005241379310344827,0.012,200543,104927,215753.42465753423
387492,111514,0.004827586206896552,0.005241379310344827,0.015,195582,92515,215753.42465753423
339334,144005,0.004827586206896552,0.005655172413793104,0.006,192774,140675,207236.84210526312
361162,137479,0.004827586206896552,0.005655172413793104,0.009,189324,118844,207236.84210526312
376785,129163,0.004827586206896552,0.005655172413793104,0.012,189126,103219,207236.84210526312
388930,121347,0.004827586206896552,0.005655172413793104,0.015,189915,91078,207236.84210526312
342702,159104,0.004827586206896552,0.006068965517241379,0.006,185074,137306,199367.08860759495
363575,156873,0.004827586206896552,0.006068965517241379,0.009,180724,116435,199367.08860759495
378646,139061,0.004827586206896552,0.006068965517241379,0.012,183483,101358,199367.08860759495
390443,132016,0.004827586206896552,0.006068965517241379,0.015,184168,89560,199367.08860759495
346030,169654,0.004827586206896552,0.006482758620689655,0.006,179098,133978,192073.1707317073
366002,167571,0.004827586206896552,0.006482758620689655,0.009,174714,114005,192073.1707317073
380648,153925,0.004827586206896552,0.006482758620689655,0.012,176257,99362,192073.1707317073
391853,150238,0.004827586206896552,0.006482758620689655,0.015,175600,88154,192073.1707317073
349260,194498,0.004827586206896552,0.006896551724137931,0.006,169868,130750,185294.1176470588
368097,179943,0.004827586206896552,0.006896551724137931,0.009,168567,111911,185294.1176470588
382184,175138,0.004827586206896552,0.006896551724137931,0.012,167181,97825,185294.1176470588
393224,161476,0.004827586206896552,0.006896551724137931,0.015,169836,86779,185294.1176470588
352128,206474,0.004827586206896552,0.007310344827586207,0.006,163689,127878,178977.2727272727
370277,186909,0.004827586206896552,0.007310344827586207,0.009,164163,109731,178977.2727272727
383955,167590,0.004827586206896552,0.007310344827586207,0.012,167729,96054,178977.2727272727
394486,168677,0.004827586206896552,0.007310344827586207,0.015,165572,85523,178977.2727272727
354951,202250,0.004827586206896552,0.007724137931034483,0.006,162069,125057,173076.9230769231
372334,188691,0.004827586206896552,0.007724137931034483,0.009,161487,107668,173076.9230769231
385498,186409,0.004827586206896552,0.007724137931034483,0.012,159705,94510,173076.9230769231
395837,189751,0.004827586206896552,0.007724137931034483,0.015,156631,84170,173076.9230769231
357699,200284,0.004827586206896552,0.008137931034482758,0.006,159976,122309,167553.1914893617
374418,195887,0.004827586206896552,0.008137931034482758,0.009,157263,105589,167553.1914893617
387274,209255,0.004827586206896552,0.008137931034482758,0.012,150448,92733,167553.1914893617
397221,195706,0.004827586206896552,0.008137931034482758,0.015,153021,82786,167553.1914893617
360316,197598,0.004827586206896552,0.008551724137931035,0.006,158145,119690,162371.13402061857
376377,228004,0.004827586206896552,0.008551724137931035,0.009,145902,103630,162371.13402061857
388625,211874,0.004827586206896552,0.008551724137931035,0.012,148028,91382,162371.13402061857
398432,204255,0.004827586206896552,0.008551724137931035,0.015,148583,81578,162371.13402061857
362995,235718,0.004827586206896552,0.00896551724137931,0.006,146477,117007,157500.0
378248,228874,0.004827586206896552,0.00896551724137931,0.009,143746,101760,157500.0
390079,225388,0.004827586206896552,0.00896551724137931,0.012,141950,89930,157500.0
399458,212487,0.004827586206896552,0.00896551724137931,0.015,144322,80552,157500.0
365227,237357,0.004827586206896552,0.009379310344827585,0.006,143874,114779,152912.62135922333
380030,234716,0.004827586206896552,0.009379310344827585,0.009,140351,99978,152912.62135922333
391500,231687,0.004827586206896552,0.009379310344827585,0.012,138443,88506,152912.62135922333
400660,224788,0.004827586206896552,0.009379310344827585,0.015,138811,79350,152912.62135922333
367456,258993,0.004827586206896552,0.009793103448275862,0.006,136627,112548,148584.90566037735
381808,228878,0.004827586206896552,0.009793103448275862,0.009,140112,98201,148584.90566037735
392875,231537,0.004827586206896552,0.009793103448275862,0.012,137099,87131,148584.90566037735
401649,229551,0.004827586206896552,0.009793103448275862,0.015,135911,78360,148584.90566037735
369914,260609,0.004827586206896552,0.010206896551724139,0.006,134204,110088,144495.4128440367
383609,255738,0.004827586206896552,0.010206896551724139,0.009,131194,96399,144495.4128440367
