charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
0.004,0.013306122448979591,0.015,101994,55805,104009.43396226416
0.004,0.013551020408163264,0.006,102318,76489,102558.13953488374
0.004,0.013551020408163264,0.009,95813,67714,102558.13953488374
0.004,0.013551020408163264,0.012,102296,60876,102558.13953488374
0.004,0.013551020408163264,0.015,102253,55380,102558.13953488374
0.004,0.013795918367346938,0.006,100780,75710,101146.78899082569
0.004,0.013795918367346938,0.009,100931,67108,101146.78899082569
0.004,0.013795918367346938,0.012,100717,60472,101146.78899082569
0.004,0.013795918367346938,0.015,100877,54945,101146.78899082569
0.004,0.014040816326530613,0.006,99601,74947,99773.7556561086
0.004,0.014040816326530613,0.009,99511,66496,99773.7556561086
0.004,0.014040816326530613,0.012,99386,60028,99773.7556561086
0.004,0.014040816326530613,0.015,99334,54449,99773.7556561086
0.004,0.014285714285714285,0.006,98362,74071,98437.50000000001
0.004,0.014285714285714285,0.009,98339,65951,98437.50000000001
0.004,0.014285714285714285,0.012,98070,59520,98437.50000000001
0.004,0.014285714285714285,0.015,98241,54151,98437.50000000001
0.004,0.014530612244897958,0.006,97023,73306,97136.563876652
0.004,0.014530612244897958,0.009,96798,65365,97136.563876652
0.004,0.014530612244897958,0.012,96807,59023,97136.563876652
0.004,0.014530612244897958,0.015,96585,53722,97136.563876652
0.004,0.014775510204081632,0.006,95508,72762,95869.56521739133
0.004,0.014775510204081632,0.009,95729,64897,95869.56521739133
0.004,0.014775510204081632,0.012,95522,58517,95869.56521739133
0.004,0.014775510204081632,0.015,95569,53349,95869.56521739133
0.004,0.015020408163265307,0.006,94459,72042,94635.19313304723
0.004,0.015020408163265307,0.009,94456,64260,94635.19313304723
0.004,0.015020408163265307,0.012,94381,58006,94635.19313304723
0.004,0.015020408163265307,0.015,94242,52910,94635.19313304723
0.004,0.015265306122448979,0.006,93317,71305,93432.20338983052
0.004,0.015265306122448979,0.009,93233,63687,93432.20338983052
0.004,0.015265306122448979,0.012,93114,57496,93432.20338983052
0.004,0.015265306122448979,0.015,93098,52532,93432.20338983052
0.004,0.015510204081632652,0.006,92197,70574,92259.41422594145
0.004,0.015510204081632652,0.009,91986,63124,92259.41422594145
0.004,0.015510204081632652,0.012,92045,57160,92259.41422594145
0.004,0.015510204081632652,0.015,91966,52085,92259.41422594145
0.004,0.015755102040816326,0.006,91033,69811,91115.70247933886
0.004,0.015755102040816326,0.009,90902,62567,91115.70247933886
0.004,0.015755102040816326,0.012,90825,56746,91115.70247933886
0.004,0.015755102040816326,0.015,90687,51899,91115.70247933886
0.004,0.016,0.006,89757,69161,90000.0
0.004,0.016,0.009,89813,62012,90000.0
0.004,0.016,0.012,89639,56298,90000.0
0.004,0.016,0.015,89483,51501,90000.0
0.0042448979591836735,0.004,0.006,221569,134281,231683.1683168317
0.0042448979591836735,0.004,0.009,218583,110876,231683.1683168317
0.0042448979591836735,0.004,0.012,215803,94438,231683.1683168317
0.0042448979591836735,0.004,0.015,217192,82311,231683.1683168317
0.0042448979591836735,0.0042448979591836735,0.006,217471,131961,225000.0
0.0042448979591836735,0.0042448979591836735,0.009,214650,109143,225000.0
0.0042448979591836735,0.0042448979591836735,0.012,214871,93198,225000.0
0.0042448979591836735,0.0042448979591836735,0.015,214587,81400,225000.0
0.0042448979591836735,0.004489795918367347,0.006,205066,129752,218691.5887850467
0.0042448979591836735,0.004489795918367347,0.009,209411,107801,218691.5887850467
0.0042448979591836735,0.004489795918367347,0.012,209415,92181,218691.5887850467
0.0042448979591836735,0.004489795918367347,0.015,208251,80612,218691.5887850467
0.0042448979591836735,0.0047346938775510205,0.006,204475,127653,212727.27272727276
0.0042448979591836735,0.0047346938775510205,0.009,203476,106353,212727.27272727276
0.0042448979591836735,0.0047346938775510205,0.012,200154,91197,212727.27272727276
0.0042448979591836735,0.0047346938775510205,0.015,202104,79723,212727.27272727276
0.0042448979591836735,0.004979591836734694,0.006,195944,125384,207079.64601769912
0.0042448979591836735,0.004979591836734694,0.009,197563,104916,207079.64601769912
0.0042448979591836735,0.004979591836734694,0.012,196558,90131,207079.64601769912
0.0042448979591836735,0.004979591836734694,0.015,198483,78952,207079.64601769912
0.0042448979591836735,0.005224489795918367,0.006,194262,123586,201724.13793103452
0.0042448979591836735,0.005224489795918367,0.009,191139,103424,201724.13793103452
0.0042448979591836735,0.005224489795918367,0.012,190313,88888,201724.13793103452
0.0042448979591836735,0.005224489795918367,0.015,191189,78120,201724.13793103452
0.0042448979591836735,0.005469387755102041,0.006,189939,121678,196638.65546218486
0.0042448979591836735,0.005469387755102041,0.009,188850,102096,196638.65546218486
0.0042448979591836735,0.005469387755102041,0.012,185731,87933,196638.65546218486
0.0042448979591836735,0.005469387755102041,0.015,189082,77372,196638.65546218486
0.0042448979591836735,0.005714285714285714,0.006,185096,119690,191803.27868852462
0.0042448979591836735,0.005714285714285714,0.009,186621,100851,191803.27868852462
0.0042448979591836735,0.005714285714285714,0.012,178733,87073,191803.27868852462
0.0042448979591836735,0.005714285714285714,0.015,183117,76466,191803.27868852462
0.0042448979591836735,0.005959183673469388,0.006,172871,117998,187199.99999999997
0.0042448979591836735,0.005959183673469388,0.009,174941,99492,187199.99999999997
0.0042448979591836735,0.005959183673469388,0.012,180650,86101,187199.99999999997
0.0042448979591836735,0.005959183673469388,0.015,180000,75873,187199.99999999997
0.0042448979591836735,0.006204081632653061,0.006,176511,116297,182812.5
0.0042448979591836735,0.006204081632653061,0.009,172650,98355,182812.5
0.0042448979591836735,0.006204081632653061,0.012,177758,85161,182812.5
0.0042448979591836735,0.006204081632653061,0.015,176620,75124,182812.5
0.0042448979591836735,0.006448979591836735,0.006,172447,114538,178625.9541984733
0.0042448979591836735,0.006448979591836735,0.009,171285,97092,178625.9541984733
0.0042448979591836735,0.006448979591836735,0.012,174317,84276,178625.9541984733
0.0042448979591836735,0.006448979591836735,0.015,174824,74281,178625.9541984733
0.0042448979591836735,0.006693877551020408,0.006,165032,112691,174626.86567164178
0.0042448979591836735,0.006693877551020408,0.009,165466,95931,174626.86567164178
0.0042448979591836735,0.006693877551020408,0.012,173228,83374,174626.86567164178
0.0042448979591836735,0.006693877551020408,0.015,171752,73559,174626.86567164178
