charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
0.001,0.007176470588235294,0.003999999999999999,35493,24847,36690.64748201439
0.001,0.007176470588235294,0.004999999999999999,34909,22917,36690.64748201439
0.001,0.007176470588235294,0.005999999999999999,35579,21231,36690.64748201439
0.001,0.007176470588235294,0.006999999999999998,35036,19886,36690.64748201439
0.001,0.007176470588235294,0.007999999999999998,34935,18659,36690.64748201439
0.001,0.007176470588235294,0.008999999999999998,34640,17418,36690.64748201439
0.001,0.007176470588235294,0.009999999999999998,34144,16484,36690.64748201439
0.001,0.007176470588235294,0.011,34185,15552,36690.64748201439
0.001,0.007176470588235294,0.011999999999999997,35545,15044,36690.64748201439
0.001,0.007176470588235294,0.012999999999999998,34169,14084,36690.64748201439
0.001,0.007176470588235294,0.013999999999999999,33996,13378,36690.64748201439
0.001,0.007176470588235294,0.015,34679,13123,36690.64748201439
0.001,0.0075882352941176465,0.001,34767,31083,34931.50684931507
0.001,0.0075882352941176465,0.002,34365,28672,34931.50684931507
0.001,0.0075882352941176465,0.0029999999999999996,34098,26224,34931.50684931507
0.001,0.0075882352941176465,0.003999999999999999,34103,23946,34931.50684931507
0.001,0.0075882352941176465,0.004999999999999999,33638,22146,34931.50684931507
0.001,0.0075882352941176465,0.005999999999999999,34093,20651,34931.50684931507
0.001,0.0075882352941176465,0.006999999999999998,33051,19284,34931.50684931507
0.001,0.0075882352941176465,0.007999999999999998,33099,18041,34931.50684931507
0.001,0.0075882352941176465,0.008999999999999998,32564,17106,34931.50684931507
0.001,0.0075882352941176465,0.009999999999999998,33603,16171,34931.50684931507
0.001,0.0075882352941176465,0.011,32583,15242,34931.50684931507
0.001,0.0075882352941176465,0.011999999999999997,32592,14724,34931.50684931507
0.001,0.0075882352941176465,0.012999999999999998,32485,14084,34931.50684931507
0.001,0.0075882352941176465,0.013999999999999999,32651,13442,34931.50684931507
0.001,0.0075882352941176465,0.015,33963,12842,34931.50684931507
0.001,0.008,0.001,33118,29894,33333.333333333336
0.001,0.008,0.002,32667,27160,33333.333333333336
0.001,0.008,0.0029999999999999996,32555,25176,33333.333333333336
0.001,0.008,0.003999999999999999,32226,23280,33333.333333333336
0.001,0.008,0.004999999999999999,32169,21490,33333.333333333336
0.001,0.008,0.005999999999999999,32357,20135,33333.333333333336
0.001,0.008,0.006999999999999998,32254,18877,33333.333333333336
0.001,0.008,0.007999999999999998,32271,17727,33333.333333333336
0.001,0.008,0.008999999999999998,31724,16498,33333.333333333336
0.001,0.008,0.009999999999999998,31792,15860,33333.333333333336
0.001,0.008,0.011,31670,14929,33333.333333333336
0.001,0.008,0.011999999999999997,31378,14304,33333.333333333336
0.001,0.008,0.012999999999999998,31137,13763,33333.333333333336
0.001,0.008,0.013999999999999999,30864,13164,33333.333333333336
0.001,0.008,0.015,31046,12441,33333.333333333336
0.001,0.008411764705882351,0.001,31816,28856,31875.000000000007
0.001,0.008411764705882351,0.002,31582,26539,31875.000000000007
0.001,0.008411764705882351,0.0029999999999999996,31628,24256,31875.000000000007
0.001,0.008411764705882351,0.003999999999999999,31364,22427,31875.000000000007
0.001,0.008411764705882351,0.004999999999999999,31287,20876,31875.000000000007
0.001,0.008411764705882351,0.005999999999999999,30649,19583,31875.000000000007
0.001,0.008411764705882351,0.006999999999999998,30404,18349,31875.000000000007
0.001,0.008411764705882351,0.007999999999999998,30730,17108,31875.000000000007
0.001,0.008411764705882351,0.008999999999999998,30151,16174,31875.000000000007
0.001,0.008411764705882351,0.009999999999999998,30502,15584,31875.000000000007
0.001,0.008411764705882351,0.011,31585,14617,31875.000000000007
0.001,0.008411764705882351,0.011999999999999997,30105,13994,31875.000000000007
0.001,0.008411764705882351,0.012999999999999998,30977,13373,31875.000000000007
0.001,0.008411764705882351,0.013999999999999999,29994,12750,31875.000000000007
0.001,0.008411764705882351,0.015,29623,12338,31875.000000000007
0.001,0.008823529411764706,0.001,30364,28061,30538.922155688626
0.001,0.008823529411764706,0.002,30322,25618,30538.922155688626
0.001,0.008823529411764706,0.0029999999999999996,30168,23598,30538.922155688626
0.001,0.008823529411764706,0.003999999999999999,30184,21796,30538.922155688626
0.001,0.008823529411764706,0.004999999999999999,30125,20302,30538.922155688626
0.001,0.008823529411764706,0.005999999999999999,29866,18973,30538.922155688626
0.001,0.008823529411764706,0.006999999999999998,29092,17731,30538.922155688626
0.001,0.008823529411764706,0.007999999999999998,29520,16795,30538.922155688626
0.001,0.008823529411764706,0.008999999999999998,29071,15863,30538.922155688626
0.001,0.008823529411764706,0.009999999999999998,30086,15211,30538.922155688626
0.001,0.008823529411764706,0.011,30156,14307,30538.922155688626
0.001,0.008823529411764706,0.011999999999999997,29038,13684,30538.922155688626
